RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,ChurnProbability,ChurnPrediction,RiskLevel
21,106396,Brown,755,Spain,Female,18,2,"83315,8999253024",3,0,1,"60675,9299401120",0,"0,0038408176",0,Low Risk
22,108666,Davis,670,France,Male,69,9,"18779,7445965337",3,0,0,"74088,3564651627",1,"0,9946171242",1,High Risk
23,109274,Johnson,629,France,Female,47,1,"34928,7268728544",1,0,0,"13318,2105564597",1,"0,8300522815",1,High Risk
24,102558,Miller,704,France,Male,53,8,"25036,0228666216",3,1,0,"185388,3053248240",0,"0,9016505983",1,High Risk
25,107849,Miller,637,Spain,Female,44,4,"159680,2600687961",2,1,1,"127229,6107017518",0,"0,4560384075",0,Medium Risk
26,102047,Williams,579,France,Female,47,8,"45383,3079064143",2,0,1,"70397,7822878938",1,"0,5691164098",1,Medium Risk
27,102747,Smith,662,France,Male,34,1,"52081,4175234465",1,0,0,"38707,0865492588",0,"0,3317652399",0,Medium Risk
28,109167,Garcia,647,Spain,Female,54,5,"109331,4964944211",3,0,1,"133240,7075268207",1,"0,7775578169",1,High Risk
29,109998,Smith,472,Spain,Female,60,10,"39385,3696080699",2,1,1,"29656,2798749120",1,"0,9545420306",1,High Risk
30,100189,Davis,587,Spain,Female,28,0,"47450,3922466412",3,1,1,"38936,4813268360",0,"0,0301962485",0,Low Risk
31,102734,Smith,523,France,Female,35,6,"159899,9422838751",2,1,0,"106940,7410040918",0,"0,3337097864",0,Medium Risk
32,103005,Johnson,484,Spain,Female,30,3,"158246,0825616651",3,0,0,"36480,0232822911",0,"0,0881468999",0,Low Risk
33,104658,Johnson,696,Germany,Female,37,6,"92778,2296364170",2,0,0,"28690,5474531104",0,"0,4989631873",0,Medium Risk
34,101899,Jones,583,Germany,Female,50,8,"81865,9494773442",2,0,0,"142313,1885154562",0,"0,9032883658",1,High Risk
35,107734,Davis,754,France,Female,36,0,"19968,2803374206",2,1,1,"98468,8197921046",0,"0,2018344601",0,Low Risk
36,101267,Smith,467,Germany,Female,18,0,"64090,2190987593",1,0,1,"20941,0043850294",0,"0,0084220085",0,Low Risk
37,101528,Miller,620,France,Male,53,10,"32069,8262920378",3,0,1,"20626,9491952400",1,"0,7533865691",1,High Risk
38,103556,Miller,588,France,Female,27,6,"130841,2570931752",1,1,1,"192541,7418101634",0,"0,0429428767",0,Low Risk
39,103890,Davis,492,Germany,Female,45,9,"98869,9646732118",3,0,0,"21786,9992833582",1,"0,7016415545",1,High Risk
40,108838,Smith,650,France,Male,46,10,"47428,2331590303",2,1,0,"95319,5686501575",0,"0,7830809399",1,High Risk
41,105393,Johnson,500,France,Female,32,1,"76592,1159598924",4,0,0,"84928,7365978351",0,"0,1106628951",0,Low Risk
42,108792,Johnson,672,France,Female,25,7,"54658,2779201672",1,1,1,"106344,7737327033",0,"0,0322965695",0,Low Risk
43,108433,Jones,722,Spain,Male,31,3,"15833,5172678737",2,1,1,"177464,9107589502",0,"0,0856443466",0,Low Risk
44,107513,Jones,676,France,Female,62,6,"151763,7729833800",1,1,1,"138947,3216003020",1,"0,9735970482",1,High Risk
45,102612,Brown,689,Spain,Male,24,9,"228524,5299587140",4,1,1,"158225,5487560677",0,"0,0088640058",0,Low Risk
46,107041,Davis,753,Germany,Male,22,1,"266422,1722064213",3,1,0,"92343,8999336465",0,"0,0265030475",0,Low Risk
47,109555,Williams,647,Germany,Female,41,7,"155680,8650565371",3,1,1,"118024,5094049586",0,"0,3018543170",0,Medium Risk
48,106235,Smith,567,France,Male,35,5,"172392,1491631378",4,1,0,"24439,5977724441",0,"0,1846927639",0,Low Risk
49,105486,Davis,589,Germany,Male,32,0,"5733,7699962242",4,1,1,"25170,6272973130",0,"0,0682114293",0,Low Risk
50,107099,Miller,591,France,Female,25,8,"152276,0738909374",3,0,0,"175418,0620899688",0,"0,0357985069",0,Low Risk
51,109670,Smith,545,France,Female,38,10,"36156,3292401180",4,0,1,"107111,1038088482",0,"0,1443797203",0,Low Risk
52,100775,Jones,728,Germany,Male,36,1,"14829,2403744472",2,1,1,"32110,4458847697",0,"0,2357506761",0,Low Risk
53,108226,Jones,702,Spain,Female,59,3,"73792,8905980507",1,1,1,"25693,3990570922",0,"0,9554836236",1,High Risk
54,103152,Brown,483,France,Male,25,8,"84487,0984863039",1,1,1,"184831,9388924317",0,"0,0266537555",0,Low Risk
55,101585,Williams,567,Germany,Male,31,7,"66321,9163849306",1,1,1,"43721,3590965222",0,"0,1306206237",0,Low Risk
56,103943,Brown,540,Spain,Female,58,7,"105780,9015803757",1,0,1,"92902,7997685308",0,"0,9364016550",1,High Risk
57,107555,Miller,681,Spain,Male,31,3,"125252,9954424195",1,1,1,"159042,3559529187",0,"0,1116153209",0,Low Risk
58,103073,Williams,757,France,Female,28,0,"14747,1741044836",1,1,0,"174968,3921789481",0,"0,1363320384",0,Low Risk
59,101021,Garcia,694,Germany,Female,45,9,"95952,1988450893",3,1,1,"174428,5290642219",0,"0,5152927280",1,Medium Risk
60,103843,Smith,579,France,Female,41,3,"5599,0553620755",3,1,1,"178025,5343437084",1,"0,2317604944",0,Low Risk
61,107989,Brown,618,Spain,Female,34,2,"59559,3596338728",1,0,0,"39904,6446318304",0,"0,3694950743",0,Medium Risk
62,109692,Jones,510,France,Male,40,10,"10541,5606598467",1,1,1,"92274,5775554881",1,"0,4325407953",0,Medium Risk
63,106873,Brown,518,Spain,Female,46,2,"59713,8348723068",4,1,0,"135938,4256579299",0,"0,6259901940",1,High Risk
64,105675,Garcia,734,Spain,Female,41,0,"19290,9248653632",4,1,1,"181380,3489720182",0,"0,1988082120",0,Low Risk
65,100161,Brown,794,Spain,Female,47,8,"132587,7856039751",4,1,0,"92282,9029479375",1,"0,7112359524",1,High Risk
66,104297,Smith,578,Spain,Male,36,2,"229840,0744813248",1,1,1,"128618,7764733490",0,"0,2124918340",0,Low Risk
67,100995,Garcia,654,France,Female,23,3,"18577,5538029432",4,1,1,"192423,8971138288",0,"0,0074535324",0,Low Risk
68,107629,Davis,722,France,Male,47,0,"133429,5134152142",1,1,0,"193245,1048292921",0,"0,8278130010",1,High Risk
69,109467,Davis,483,Germany,Male,34,2,"15800,5735029289",3,1,0,"137157,7802170168",0,"0,2739419456",0,Low Risk
70,101016,Davis,545,Germany,Male,34,0,"56866,4514775142",2,1,0,"106380,3524730683",1,"0,3288143898",0,Medium Risk
71,107869,Jones,849,France,Male,50,3,"98225,6019181476",3,1,0,"119441,0466557698",0,"0,8280876443",1,High Risk
72,106439,Jones,554,France,Female,63,9,"77159,7917830047",1,1,0,"181381,4011190341",1,"0,9917287466",1,High Risk
73,107892,Davis,613,Spain,Female,18,6,"5885,0013678199",1,0,1,"142194,7185034871",0,"0,0072281597",0,Low Risk
74,106863,Davis,589,Spain,Male,34,9,"45042,9861835490",3,1,1,"57024,1852894303",0,"0,1177070135",0,Low Risk
75,107916,Davis,450,France,Male,37,10,"63518,2605643659",3,1,1,"48282,5512032494",0,"0,1777354412",0,Low Risk
76,108529,Johnson,658,France,Female,40,7,"49659,0626655585",4,1,1,"43072,5483855361",0,"0,2267230483",0,Low Risk
77,100878,Davis,647,Germany,Male,36,7,"109511,4085992522",4,1,0,"124010,3788806660",0,"0,2991339605",0,Low Risk
78,109268,Garcia,668,Spain,Male,37,0,"219080,3410158581",2,1,0,"131343,1144423694",0,"0,4066285084",0,Medium Risk
79,104887,Johnson,641,Germany,Male,44,10,"110160,1465839580",4,1,1,"26543,7617197613",1,"0,3649818862",0,Medium Risk
80,104859,Johnson,604,Spain,Female,36,5,"89150,6522605909",4,0,0,"152280,7768605838",1,"0,2440793703",0,Low Risk
81,106331,Smith,598,Spain,Male,31,7,"16142,0231511494",4,1,1,"115476,6538076768",0,"0,0485209896",0,Low Risk
82,108571,Brown,599,Spain,Male,30,9,"42901,1893245785",2,0,1,"67945,0509259380",0,"0,0541522209",0,Low Risk
83,108684,Jones,551,Germany,Male,58,9,"79470,8842243510",4,0,0,"191782,4941874582",0,"0,9462915854",1,High Risk
84,107208,Jones,566,Spain,Female,68,7,"271879,9495544537",4,1,1,"104724,7008887075",1,"0,9749777624",1,High Risk
85,105276,Brown,552,Spain,Male,33,8,"36352,9739249102",3,1,0,"101528,8664248736",0,"0,2092650054",0,Low Risk
86,102062,Jones,707,France,Female,34,7,"41242,6009614045",3,0,0,"94870,0562557072",1,"0,2377211730",0,Low Risk
87,100064,Brown,680,France,Female,44,4,"89052,4216388169",4,1,0,"117038,2673632675",0,"0,5487313128",1,Medium Risk
88,108006,Garcia,652,Spain,Female,41,0,"229959,0451866872",3,0,0,"20589,0280998052",0,"0,4091021379",0,Medium Risk
89,102568,Smith,844,France,Female,36,8,"78350,9205084836",1,1,1,"20452,4663754064",0,"0,2688453491",0,Low Risk
90,105463,Davis,557,France,Male,20,9,"19165,9018035027",3,1,1,"98654,3660652675",0,"0,0051374815",0,Low Risk
91,102027,Smith,761,Spain,Male,26,9,"7847,9201085448",2,0,0,"155768,8459676894",0,"0,0677886863",0,Low Risk
92,102695,Miller,623,Spain,Female,49,9,"219816,1091440516",4,1,1,"109440,6898879779",0,"0,5534600930",1,Medium Risk
93,109687,Smith,665,France,Male,34,9,"110848,9152796088",1,0,0,"185280,8801084690",0,"0,3430350620",0,Medium Risk
94,105258,Brown,717,France,Male,68,4,"24913,3402119712",3,1,1,"131595,7222685872",1,"0,9829260350",1,High Risk
95,105618,Miller,602,France,Female,67,6,"128917,0203027535",1,1,0,"13181,8401067205",1,"0,9961321122",1,High Risk
96,106736,Brown,544,France,Female,25,6,"127145,4429915552",1,0,0,"95885,8844146345",0,"0,0624247820",0,Low Risk
97,100391,Davis,560,Spain,Male,58,10,"147895,5829567941",4,1,0,"115576,3407280825",0,"0,9425178321",1,High Risk
98,105892,Williams,439,Germany,Male,36,3,"222723,7673018425",1,0,0,"14682,3187940240",0,"0,4509499757",0,Medium Risk
99,103561,Miller,710,Spain,Male,41,7,"16491,2688347189",2,1,1,"31682,9116685767",0,"0,3475821331",0,Medium Risk
100,106184,Davis,708,France,Male,49,10,"314062,4612703419",1,1,1,"199725,0342724413",0,"0,7423545277",1,High Risk
101,103099,Davis,808,France,Female,54,9,"651733,6670590091",4,1,0,"138865,4528102900",1,"0,8578568870",1,High Risk
102,106278,Jones,691,Spain,Female,28,8,"1459,2498124716",2,1,0,"138881,5658853399",0,"0,1163268302",0,Low Risk
103,108392,Jones,715,France,Female,71,3,"9574,4272116711",2,1,0,"118917,1673243554",1,"0,9976179968",1,High Risk
104,103104,Williams,641,France,Male,43,1,"56907,6776371367",2,1,1,"180404,9144918137",1,"0,3739800969",0,Medium Risk
105,107215,Williams,696,Spain,Female,18,9,"3502,3985979636",2,1,0,"65936,7030990843",0,"0,0168895172",0,Low Risk
106,102454,Smith,758,Spain,Male,35,3,"132763,8456578807",1,1,1,"172315,1595505332",1,"0,2164422837",0,Low Risk
107,108996,Davis,668,Germany,Female,70,1,"105191,0364990332",3,1,0,"29799,7024321344",1,"0,9964405772",1,High Risk
108,102731,Williams,597,Germany,Male,30,0,"149547,0324721982",3,0,1,"195260,6831991266",0,"0,0398509707",0,Low Risk
109,108154,Brown,627,France,Male,73,0,"644826,1272508259",3,1,0,"165616,7408320903",1,"0,9960950652",1,High Risk
110,109762,Davis,725,Spain,Female,40,10,"270929,7443971743",3,0,1,"12033,5208430892",0,"0,2450713598",0,Low Risk
111,105056,Johnson,600,Spain,Female,38,3,"35645,9747162187",3,1,0,"22820,0676935628",0,"0,4407590406",0,Medium Risk
112,108110,Brown,738,France,Male,23,8,"50495,0072551169",4,1,1,"27559,2907473942",0,"0,0074869750",0,Low Risk
113,103840,Miller,840,France,Male,48,8,"149596,2522634610",3,0,1,"140410,5935004324",0,"0,5267259618",1,Medium Risk
114,101028,Williams,740,Spain,Female,34,6,"49127,0708149155",4,1,0,"140540,4038083493",0,"0,2069331358",0,Low Risk
115,107385,Jones,724,France,Male,38,4,"119943,1751269266",3,1,1,"26885,6740547569",0,"0,1939662810",0,Low Risk
116,100502,Brown,684,Spain,Male,35,5,"250865,7693992479",3,0,1,"96051,4856832810",0,"0,1064184681",0,Low Risk
117,106910,Jones,572,Spain,Male,51,0,"52067,0026729541",2,0,0,"56358,6723910096",0,"0,8589047205",1,High Risk
118,109062,Brown,563,Spain,Female,35,2,"82216,0831798046",1,1,0,"86761,7577654279",0,"0,4204495886",0,Medium Risk
119,106938,Jones,562,Germany,Male,18,0,"184175,4236313667",2,1,1,"56663,9147411457",0,"0,0057411767",0,Low Risk
120,104488,Garcia,705,France,Male,26,9,"64945,5558514298",3,1,1,"89952,4515240457",0,"0,0191734732",0,Low Risk
121,100206,Brown,611,France,Male,19,4,"34126,7931671478",4,1,1,"132594,9007331422",0,"0,0032449612",0,Low Risk
122,105134,Miller,647,Germany,Female,61,3,"29863,3862274476",3,1,1,"40567,0412198202",1,"0,9519004772",1,High Risk
123,105977,Jones,691,France,Female,47,2,"7459,8356142803",3,1,1,"52714,2532999652",1,"0,5320754507",1,Medium Risk
124,107721,Johnson,565,Germany,Female,39,5,"40101,8665797425",1,1,1,"78891,7304038923",0,"0,4344079736",0,Medium Risk
125,107035,Miller,599,France,Male,36,5,"115791,4059955083",2,1,0,"196194,6578322298",0,"0,3810270703",0,Medium Risk
126,101484,Smith,682,France,Male,18,8,"6064,3774579234",1,1,0,"131452,9127699243",0,"0,0203420349",0,Low Risk
127,107858,Brown,620,France,Male,35,3,"32060,6425439000",2,1,0,"184070,4315648766",0,"0,3382283208",0,Medium Risk
128,100863,Johnson,630,Spain,Male,53,8,"11833,5017697428",2,1,0,"172897,8584598075",1,"0,9304566282",1,High Risk
129,102790,Smith,546,France,Male,51,3,"51831,7007516053",3,1,1,"116868,1785217619",1,"0,6432700342",1,High Risk
130,107408,Brown,631,France,Male,45,7,"9804,3023079686",2,1,1,"63576,0320044289",0,"0,5142037024",1,Medium Risk
131,108755,Johnson,815,France,Female,18,7,"137062,1396408938",2,1,1,"60096,4807768738",0,"0,0052946736",0,Low Risk
132,105116,Johnson,605,France,Male,28,1,"263142,7475617896",1,1,1,"118799,5811899051",0,"0,0432462505",0,Low Risk
133,106019,Miller,535,Spain,Female,44,9,"21360,4872178147",2,0,0,"116539,3861956181",0,"0,6921584929",1,High Risk
134,101757,Garcia,745,Germany,Male,21,7,"28845,2520304378",1,1,1,"117024,9596451158",0,"0,0182876472",0,Low Risk
135,107574,Johnson,702,France,Male,49,1,"17453,7851019146",2,1,0,"80699,2411232358",1,"0,8526195605",1,High Risk
136,106374,Garcia,671,France,Female,19,10,"20755,3759597826",1,1,1,"144912,2793383770",0,"0,0098022440",0,Low Risk
137,106892,Williams,518,Spain,Female,22,7,"37333,6689937697",3,0,1,"88486,2996194722",0,"0,0077694484",0,Low Risk
138,101678,Miller,532,Germany,Male,19,5,"33013,1600753416",2,0,1,"77761,7628264575",0,"0,0067229739",0,Low Risk
139,103242,Davis,496,France,Male,31,2,"48641,0001652489",1,0,1,"106795,6904037944",0,"0,0883009779",0,Low Risk
140,104636,Jones,693,France,Male,18,10,"74432,0088940233",1,1,0,"180176,2446482449",0,"0,0191025756",0,Low Risk
141,101059,Miller,751,France,Female,31,6,"130024,2099493966",3,0,1,"144635,9367858122",0,"0,0559927095",0,Low Risk
142,106668,Smith,696,France,Male,25,5,"215838,6897430206",3,1,0,"164958,5536985048",0,"0,0368230890",0,Low Risk
143,109914,Jones,844,Spain,Male,28,2,"61503,7547740528",1,0,1,"112270,8007318168",0,"0,0460341066",0,Low Risk
144,103157,Jones,605,France,Female,49,4,"239660,3596335845",1,1,1,"114060,4704556632",0,"0,7385826275",1,High Risk
145,105915,Davis,617,Spain,Female,38,3,"113867,2107285856",1,0,1,"173648,7860745540",0,"0,3085513281",0,Medium Risk
146,109789,Garcia,660,France,Male,49,5,"130529,9939636238",2,0,1,"39095,7928612223",0,"0,6382383190",1,High Risk
147,102693,Davis,627,France,Male,72,0,"73865,4203502991",2,1,1,"192773,9959422214",1,"0,9933048527",1,High Risk
148,103627,Davis,699,Spain,Female,18,0,"74070,0084108037",1,0,1,"109611,3848122898",0,"0,0073241744",0,Low Risk
149,109555,Jones,586,France,Male,30,7,"75922,9456142805",3,0,0,"72958,2787719531",0,"0,0917762032",0,Low Risk
150,105450,Johnson,510,Germany,Female,23,7,"67723,0100037459",3,1,1,"70872,9573354294",0,"0,0131796517",0,Low Risk
151,101663,Garcia,471,Spain,Female,28,8,"61411,1461696285",4,0,1,"19499,0605899654",0,"0,0189178397",0,Low Risk
152,109721,Jones,698,Spain,Male,44,7,"148970,0430295858",4,1,1,"65925,9148122479",0,"0,3111321655",0,Medium Risk
153,105592,Garcia,597,France,Female,65,1,"49050,3368451442",3,1,1,"92198,0524309191",1,"0,9692058648",1,High Risk
154,107392,Williams,533,France,Female,48,10,"23159,7999911640",2,0,0,"143572,8919179816",0,"0,8244221786",1,High Risk
155,101306,Garcia,588,Germany,Male,46,4,"14568,4113030838",3,1,0,"64160,0851500629",0,"0,7613586165",1,High Risk
156,106776,Brown,845,France,Female,54,7,"211676,6346568424",3,0,1,"135491,9433466773",1,"0,7662730693",1,High Risk
157,105864,Johnson,538,France,Female,61,8,"198692,3212831052",1,1,1,"124758,1361038152",1,"0,9647117197",1,High Risk
158,109474,Smith,722,France,Male,65,5,"27924,1392616838",3,1,0,"95733,3445891860",0,"0,9890940063",1,High Risk
159,107526,Brown,692,Germany,Male,46,3,"12579,5522147871",4,1,1,"13411,7075697307",0,"0,4567599810",0,Medium Risk
160,108901,Brown,784,France,Female,24,8,"323041,5089159277",2,1,1,"122490,2162843529",0,"0,0162181996",0,Low Risk
161,105575,Davis,637,Spain,Male,33,3,"65781,2652297571",4,0,1,"32341,6223787430",0,"0,0569185676",0,Low Risk
162,105530,Davis,493,Spain,Female,18,5,"9802,8739178340",2,0,0,"14022,4092495342",0,"0,0136771947",0,Low Risk
163,104413,Brown,749,France,Female,50,4,"24246,3972098657",4,1,1,"30343,9639847331",0,"0,6068052295",1,High Risk
164,103748,Jones,625,Spain,Female,26,0,"121658,1092539019",1,1,1,"47827,4791231652",0,"0,0365106970",0,Low Risk
165,100663,Garcia,777,France,Male,28,3,"8481,3402158262",1,1,1,"103068,2173725681",0,"0,0530680243",0,Low Risk
166,101998,Garcia,731,France,Female,44,9,"56750,9063820271",2,0,1,"153514,8827487653",1,"0,4498308123",0,Medium Risk
167,107994,Miller,749,France,Female,18,2,"55788,7553560979",1,1,1,"189426,7461179893",0,"0,0078960545",0,Low Risk
168,101495,Jones,850,Spain,Male,54,7,"115733,7833449396",2,0,1,"65321,5099456090",1,"0,8306754538",1,High Risk
169,103304,Johnson,678,France,Male,47,6,"22239,8552579158",3,1,0,"116958,0427606933",1,"0,7562652041",1,High Risk
170,103763,Jones,794,France,Male,32,9,"412093,7990797439",2,1,1,"199143,3227544794",0,"0,0844564172",0,Low Risk
171,105232,Jones,609,Spain,Male,38,0,"16874,8918637450",4,1,0,"122264,0109198176",0,"0,3350907319",0,Medium Risk
172,101853,Jones,704,France,Female,28,10,"91221,4900066679",2,1,1,"122689,5336233675",0,"0,0414744766",0,Low Risk
173,106585,Johnson,599,Spain,Male,78,7,"39764,9127303539",3,0,1,"42257,4734498448",1,"0,9975578696",1,High Risk
174,101291,Miller,697,France,Male,25,6,"14257,7991640335",3,1,0,"70615,9293206749",0,"0,0426563447",0,Low Risk
175,103581,Johnson,687,Spain,Female,43,1,"77410,4649057075",3,1,1,"47432,6425129784",1,"0,3437073836",0,Medium Risk
176,107554,Williams,443,Germany,Female,35,9,"18574,3677014086",1,1,0,"186089,7853871061",0,"0,5172776174",1,Medium Risk
177,107280,Miller,588,Spain,Male,39,3,"113896,1592340361",1,0,1,"99033,6963609052",0,"0,3439000733",0,Medium Risk
178,101636,Williams,673,Spain,Male,46,1,"3296,8409766851",4,1,0,"78991,8734073943",0,"0,6454655456",1,High Risk
179,103696,Williams,424,Spain,Male,47,8,"71415,5502341966",1,1,0,"149735,6878287593",0,"0,8585397284",1,High Risk
180,100698,Williams,640,France,Male,33,7,"24715,8178500910",2,1,1,"76945,1520905210",0,"0,1198543114",0,Low Risk
181,104737,Garcia,750,Spain,Female,21,0,"299562,3152327915",3,1,0,"175127,9227010700",0,"0,0186421218",0,Low Risk
182,100854,Brown,780,Germany,Male,28,0,"123971,0119023206",1,0,1,"138886,1485755883",0,"0,0543652483",0,Low Risk
183,108164,Brown,571,France,Female,32,7,"140764,8289281540",1,1,0,"19864,3166563136",0,"0,2759755246",0,Low Risk
184,105855,Williams,786,Spain,Female,30,4,"122196,7517620516",4,0,1,"117063,6542149973",0,"0,0277434587",0,Low Risk
185,107392,Williams,770,France,Male,23,0,"109630,1322360490",1,1,1,"166532,9109874843",0,"0,0187643435",0,Low Risk
186,106528,Smith,435,France,Female,45,10,"14855,5700131800",1,0,0,"188858,7623258269",0,"0,7909168008",1,High Risk
187,105249,Davis,661,France,Male,18,3,"596321,3452102497",3,1,1,"68621,6185503865",0,"0,0025480607",0,Low Risk
188,105172,Brown,672,Germany,Male,38,1,"107112,0429261181",4,1,1,"66548,1181534814",0,"0,1839956689",0,Low Risk
189,101707,Davis,801,Germany,Male,18,8,"227671,3087476157",3,1,1,"114384,7342981757",0,"0,0043915520",0,Low Risk
190,105791,Davis,678,Germany,Male,55,9,"70078,8320942884",1,0,0,"14706,5824180188",1,"0,9689363050",1,High Risk
191,109925,Smith,789,France,Female,29,5,"33683,1839844983",2,1,0,"67175,5240479319",0,"0,1266768890",0,Low Risk
192,105535,Davis,571,Germany,Male,28,10,"57488,3111851025",3,1,1,"155986,3881656185",0,"0,0327104500",0,Low Risk
193,104931,Miller,490,Spain,Female,25,8,"50942,5661334755",2,1,0,"174210,4884518191",0,"0,0590758913",0,Low Risk
194,103510,Smith,585,France,Male,64,0,"1608,8097941345",2,1,1,"85595,8081723073",1,"0,9717471522",1,High Risk
195,100202,Davis,807,Germany,Female,58,0,"112373,9769500341",3,1,1,"184212,4703411822",0,"0,9086378250",1,High Risk
196,104218,Davis,742,France,Female,39,10,"133806,5628880361",4,1,1,"64886,5455832978",0,"0,2056371736",0,Low Risk
197,108958,Jones,850,France,Male,31,3,"4177,3267349233",2,1,1,"18877,9898681994",0,"0,0830547897",0,Low Risk
198,104389,Davis,505,Germany,Male,70,1,"28228,7806055963",3,1,1,"42746,3848033834",1,"0,9897863523",1,High Risk
199,102327,Garcia,754,France,Female,46,0,"109194,3497434321",1,1,0,"174915,6712289496",1,"0,8168536717",1,High Risk
200,108004,Miller,725,Germany,Female,35,5,"38845,2833513384",3,1,0,"193995,7472568756",1,"0,3491628381",0,Medium Risk
201,102931,Johnson,621,Germany,Female,30,7,"271582,7808606310",1,1,1,"126000,1080077627",0,"0,0905112891",0,Low Risk
202,107777,Brown,727,France,Male,51,0,"11945,4769557548",4,0,1,"149091,4188223827",0,"0,5477744197",1,Medium Risk
203,100197,Williams,663,France,Male,35,10,"263229,7073212026",2,0,0,"168838,3938731075",1,"0,2985617269",0,Low Risk
204,107125,Davis,696,Spain,Male,18,10,"245293,6285899062",4,1,0,"47533,2612766936",0,"0,0069283133",0,Low Risk
205,101930,Miller,718,France,Male,41,9,"311825,2467499827",4,1,1,"115173,0633681147",0,"0,1773850296",0,Low Risk
206,106287,Williams,748,Germany,Female,42,9,"8037,2796088375",2,1,1,"188340,1898519020",1,"0,4681503615",0,Medium Risk
207,108800,Johnson,658,Spain,Female,39,5,"31800,5776179772",1,1,1,"78633,6885671249",0,"0,4046733123",0,Medium Risk
208,109339,Miller,827,Spain,Female,46,0,"28944,3532418639",3,1,0,"198210,2035046383",1,"0,7128191959",1,High Risk
209,104282,Brown,628,Germany,Female,34,7,"216538,0614083705",1,1,1,"144525,1205459739",0,"0,2228583688",0,Low Risk
210,102511,Miller,838,France,Female,39,5,"164597,8844070839",2,1,1,"138206,9250623923",1,"0,2988208223",0,Low Risk
211,109986,Williams,537,France,Male,38,0,"17303,8458339101",1,1,0,"17114,2106301370",0,"0,5420504021",1,Medium Risk
212,100659,Williams,551,France,Male,18,8,"15254,2931470296",1,1,0,"13522,1150455072",0,"0,0182638756",0,Low Risk
213,102811,Jones,557,Germany,Female,49,0,"64270,3527435526",1,0,0,"41383,4875667614",0,"0,8931965400",1,High Risk
214,107098,Davis,745,France,Male,47,8,"19036,1127381610",2,0,1,"187381,3647568660",0,"0,5887676739",1,Medium Risk
215,106546,Smith,569,Spain,Male,53,2,"64607,3691241024",4,1,0,"160865,5880216453",1,"0,8419499273",1,High Risk
216,109561,Miller,799,Germany,Male,23,7,"186236,1888743410",3,0,1,"108870,4903497779",0,"0,0109614934",0,Low Risk
217,101986,Williams,597,France,Male,32,7,"69297,5702945418",4,1,1,"104175,0824341791",0,"0,0534834862",0,Low Risk
218,108338,Garcia,689,France,Male,55,6,"128896,8674974267",3,1,1,"35712,3994151762",0,"0,8206730985",1,High Risk
