RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
74,106863,Davis,589,Spain,Male,34,9,45042.98618354903,3,1,1,57024.18528943032,0
75,107916,Davis,450,France,Male,37,10,63518.26056436588,3,1,1,48282.55120324941,0
76,108529,Johnson,658,France,Female,40,7,49659.062665558464,4,1,1,43072.548385536145,0
77,100878,Davis,647,Germany,Male,36,7,109511.40859925222,4,1,0,124010.37888066597,0
78,109268,Garcia,668,Spain,Male,37,0,219080.34101585808,2,1,0,131343.1144423694,0
79,104887,Johnson,641,Germany,Male,44,10,110160.14658395796,4,1,1,26543.761719761344,1
80,104859,Johnson,604,Spain,Female,36,5,89150.65226059091,4,0,0,152280.77686058384,1
81,106331,Smith,598,Spain,Male,31,7,16142.023151149426,4,1,1,115476.65380767679,0
82,108571,Brown,599,Spain,Male,30,9,42901.18932457846,2,0,1,67945.05092593796,0
83,108684,Jones,551,Germany,Male,58,9,79470.88422435096,4,0,0,191782.49418745824,0
84,107208,Jones,566,Spain,Female,68,7,271879.94955445366,4,1,1,104724.7008887075,1
85,105276,Brown,552,Spain,Male,33,8,36352.97392491022,3,1,0,101528.86642487357,0
86,102062,Jones,707,France,Female,34,7,41242.60096140454,3,0,0,94870.05625570717,1
87,100064,Brown,680,France,Female,44,4,89052.42163881693,4,1,0,117038.26736326753,0
88,108006,Garcia,652,Spain,Female,41,0,229959.04518668717,3,0,0,20589.028099805204,0
89,102568,Smith,844,France,Female,36,8,78350.92050848358,1,1,1,20452.466375406388,0
90,105463,Davis,557,France,Male,20,9,19165.901803502726,3,1,1,98654.36606526752,0
91,102027,Smith,761,Spain,Male,26,9,7847.920108544826,2,0,0,155768.8459676894,0
92,102695,Miller,623,Spain,Female,49,9,219816.10914405162,4,1,1,109440.68988797789,0
93,109687,Smith,665,France,Male,34,9,110848.91527960883,1,0,0,185280.88010846905,0
94,105258,Brown,717,France,Male,68,4,24913.34021197122,3,1,1,131595.72226858715,1
95,105618,Miller,602,France,Female,67,6,128917.02030275352,1,1,0,13181.840106720487,1
96,106736,Brown,544,France,Female,25,6,127145.44299155522,1,0,0,95885.88441463452,0
97,100391,Davis,560,Spain,Male,58,10,147895.5829567941,4,1,0,115576.34072808246,0
98,105892,Williams,439,Germany,Male,36,3,222723.76730184245,1,0,0,14682.318794023986,0
99,103561,Miller,710,Spain,Male,41,7,16491.26883471893,2,1,1,31682.91166857671,0
100,106184,Davis,708,France,Male,49,10,314062.4612703419,1,1,1,199725.03427244132,0
101,103099,Davis,808,France,Female,54,9,651733.6670590091,4,1,0,138865.45281029004,1
102,106278,Jones,691,Spain,Female,28,8,1459.2498124715523,2,1,0,138881.5658853399,0
103,108392,Jones,715,France,Female,71,3,9574.427211671107,2,1,0,118917.16732435538,1
104,103104,Williams,641,France,Male,43,1,56907.67763713669,2,1,1,180404.9144918137,1
105,107215,Williams,696,Spain,Female,18,9,3502.398597963571,2,1,0,65936.70309908432,0
106,102454,Smith,758,Spain,Male,35,3,132763.84565788065,1,1,1,172315.15955053322,1
107,108996,Davis,668,Germany,Female,70,1,105191.03649903316,3,1,0,29799.70243213439,1
108,102731,Williams,597,Germany,Male,30,0,149547.03247219822,3,0,1,195260.6831991266,0
109,108154,Brown,627,France,Male,73,0,644826.1272508259,3,1,0,165616.74083209032,1
110,109762,Davis,725,Spain,Female,40,10,270929.7443971743,3,0,1,12033.520843089214,0
111,105056,Johnson,600,Spain,Female,38,3,35645.97471621875,3,1,0,22820.06769356283,0
112,108110,Brown,738,France,Male,23,8,50495.00725511692,4,1,1,27559.29074739424,0
113,103840,Miller,840,France,Male,48,8,149596.25226346098,3,0,1,140410.5935004324,0
114,101028,Williams,740,Spain,Female,34,6,49127.07081491548,4,1,0,140540.40380834934,0
115,107385,Jones,724,France,Male,38,4,119943.17512692662,3,1,1,26885.674054756862,0
116,100502,Brown,684,Spain,Male,35,5,250865.76939924795,3,0,1,96051.48568328102,0
117,106910,Jones,572,Spain,Male,51,0,52067.002672954135,2,0,0,56358.67239100956,0
118,109062,Brown,563,Spain,Female,35,2,82216.08317980463,1,1,0,86761.75776542787,0
119,106938,Jones,562,Germany,Male,18,0,184175.4236313667,2,1,1,56663.91474114573,0
120,104488,Garcia,705,France,Male,26,9,64945.55585142984,3,1,1,89952.45152404565,0
121,100206,Brown,611,France,Male,19,4,34126.79316714781,4,1,1,132594.9007331422,0
122,105134,Miller,647,Germany,Female,61,3,29863.386227447558,3,1,1,40567.04121982017,1
123,105977,Jones,691,France,Female,47,2,7459.835614280301,3,1,1,52714.25329996522,1
124,107721,Johnson,565,Germany,Female,39,5,40101.86657974254,1,1,1,78891.7304038923,0
125,107035,Miller,599,France,Male,36,5,115791.40599550828,2,1,0,196194.65783222977,0
126,101484,Smith,682,France,Male,18,8,6064.3774579233905,1,1,0,131452.9127699243,0
127,107858,Brown,620,France,Male,35,3,32060.64254390004,2,1,0,184070.43156487666,0
128,100863,Johnson,630,Spain,Male,53,8,11833.501769742757,2,1,0,172897.8584598075,1
129,102790,Smith,546,France,Male,51,3,51831.70075160527,3,1,1,116868.1785217619,1
130,107408,Brown,631,France,Male,45,7,9804.302307968592,2,1,1,63576.03200442888,0
131,108755,Johnson,815,France,Female,18,7,137062.13964089376,2,1,1,60096.48077687375,0
132,105116,Johnson,605,France,Male,28,1,263142.74756178964,1,1,1,118799.58118990512,0
133,106019,Miller,535,Spain,Female,44,9,21360.48721781472,2,0,0,116539.3861956181,0
134,101757,Garcia,745,Germany,Male,21,7,28845.25203043782,1,1,1,117024.9596451158,0
135,107574,Johnson,702,France,Male,49,1,17453.785101914615,2,1,0,80699.24112323581,1
136,106374,Garcia,671,France,Female,19,10,20755.375959782625,1,1,1,144912.279338377,0
137,106892,Williams,518,Spain,Female,22,7,37333.66899376972,3,0,1,88486.29961947216,0
138,101678,Miller,532,Germany,Male,19,5,33013.16007534163,2,0,1,77761.76282645753,0
139,103242,Davis,496,France,Male,31,2,48641.00016524888,1,0,1,106795.69040379443,0
140,104636,Jones,693,France,Male,18,10,74432.00889402334,1,1,0,180176.2446482449,0
141,101059,Miller,751,France,Female,31,6,130024.20994939657,3,0,1,144635.9367858122,0
142,106668,Smith,696,France,Male,25,5,215838.68974302054,3,1,0,164958.5536985048,0
143,109914,Jones,844,Spain,Male,28,2,61503.75477405275,1,0,1,112270.80073181685,0
144,103157,Jones,605,France,Female,49,4,239660.3596335845,1,1,1,114060.47045566318,0
145,105915,Davis,617,Spain,Female,38,3,113867.21072858559,1,0,1,173648.78607455402,0
146,109789,Garcia,660,France,Male,49,5,130529.99396362377,2,0,1,39095.792861222304,0
147,102693,Davis,627,France,Male,72,0,73865.42035029907,2,1,1,192773.9959422214,1
148,103627,Davis,699,Spain,Female,18,0,74070.00841080373,1,0,1,109611.38481228979,0
149,109555,Jones,586,France,Male,30,7,75922.94561428048,3,0,0,72958.2787719531,0
150,105450,Johnson,510,Germany,Female,23,7,67723.01000374592,3,1,1,70872.95733542938,0
151,101663,Garcia,471,Spain,Female,28,8,61411.146169628475,4,0,1,19499.060589965386,0
152,109721,Jones,698,Spain,Male,44,7,148970.04302958582,4,1,1,65925.91481224787,0
153,105592,Garcia,597,France,Female,65,1,49050.33684514423,3,1,1,92198.05243091911,1
154,107392,Williams,533,France,Female,48,10,23159.799991163953,2,0,0,143572.8919179816,0
155,101306,Garcia,588,Germany,Male,46,4,14568.411303083787,3,1,0,64160.085150062936,0
156,106776,Brown,845,France,Female,54,7,211676.63465684242,3,0,1,135491.94334667735,1
157,105864,Johnson,538,France,Female,61,8,198692.3212831052,1,1,1,124758.13610381515,1
158,109474,Smith,722,France,Male,65,5,27924.139261683766,3,1,0,95733.344589186,0
159,107526,Brown,692,Germany,Male,46,3,12579.552214787143,4,1,1,13411.707569730708,0
160,108901,Brown,784,France,Female,24,8,323041.50891592767,2,1,1,122490.21628435288,0
161,105575,Davis,637,Spain,Male,33,3,65781.26522975712,4,0,1,32341.62237874305,0
162,105530,Davis,493,Spain,Female,18,5,9802.873917834002,2,0,0,14022.409249534161,0
163,104413,Brown,749,France,Female,50,4,24246.3972098657,4,1,1,30343.963984733055,0
164,103748,Jones,625,Spain,Female,26,0,121658.10925390186,1,1,1,47827.479123165154,0
165,100663,Garcia,777,France,Male,28,3,8481.340215826223,1,1,1,103068.21737256809,0
166,101998,Garcia,731,France,Female,44,9,56750.90638202713,2,0,1,153514.8827487653,1
167,107994,Miller,749,France,Female,18,2,55788.75535609788,1,1,1,189426.74611798927,0
168,101495,Jones,850,Spain,Male,54,7,115733.7833449396,2,0,1,65321.509945608974,1
169,103304,Johnson,678,France,Male,47,6,22239.85525791584,3,1,0,116958.0427606933,1
170,103763,Jones,794,France,Male,32,9,412093.79907974385,2,1,1,199143.32275447942,0
171,105232,Jones,609,Spain,Male,38,0,16874.891863745,4,1,0,122264.01091981765,0
172,101853,Jones,704,France,Female,28,10,91221.49000666787,2,1,1,122689.53362336753,0
173,106585,Johnson,599,Spain,Male,78,7,39764.91273035392,3,0,1,42257.47344984478,1
174,101291,Miller,697,France,Male,25,6,14257.799164033546,3,1,0,70615.92932067494,0
175,103581,Johnson,687,Spain,Female,43,1,77410.46490570749,3,1,1,47432.6425129784,1
176,107554,Williams,443,Germany,Female,35,9,18574.36770140862,1,1,0,186089.78538710612,0
177,107280,Miller,588,Spain,Male,39,3,113896.15923403614,1,0,1,99033.69636090516,0
178,101636,Williams,673,Spain,Male,46,1,3296.8409766851178,4,1,0,78991.87340739429,0
179,103696,Williams,424,Spain,Male,47,8,71415.55023419659,1,1,0,149735.68782875928,0
180,100698,Williams,640,France,Male,33,7,24715.817850091,2,1,1,76945.15209052105,0
181,104737,Garcia,750,Spain,Female,21,0,299562.31523279153,3,1,0,175127.92270107,0
182,100854,Brown,780,Germany,Male,28,0,123971.01190232056,1,0,1,138886.14857558833,0
183,108164,Brown,571,France,Female,32,7,140764.82892815402,1,1,0,19864.316656313615,0
184,105855,Williams,786,Spain,Female,30,4,122196.75176205163,4,0,1,117063.65421499731,0
185,107392,Williams,770,France,Male,23,0,109630.13223604903,1,1,1,166532.91098748433,0
186,106528,Smith,435,France,Female,45,10,14855.570013180017,1,0,0,188858.76232582692,0
187,105249,Davis,661,France,Male,18,3,596321.3452102497,3,1,1,68621.61855038647,0
188,105172,Brown,672,Germany,Male,38,1,107112.04292611811,4,1,1,66548.11815348137,0
189,101707,Davis,801,Germany,Male,18,8,227671.3087476157,3,1,1,114384.73429817568,0
190,105791,Davis,678,Germany,Male,55,9,70078.83209428845,1,0,0,14706.582418018803,1
191,109925,Smith,789,France,Female,29,5,33683.18398449825,2,1,0,67175.52404793186,0
192,105535,Davis,571,Germany,Male,28,10,57488.31118510247,3,1,1,155986.3881656185,0
193,104931,Miller,490,Spain,Female,25,8,50942.56613347546,2,1,0,174210.4884518191,0
194,103510,Smith,585,France,Male,64,0,1608.8097941344695,2,1,1,85595.80817230725,1
195,100202,Davis,807,Germany,Female,58,0,112373.9769500341,3,1,1,184212.47034118214,0
196,104218,Davis,742,France,Female,39,10,133806.5628880361,4,1,1,64886.54558329776,0
197,108958,Jones,850,France,Male,31,3,4177.3267349233065,2,1,1,18877.989868199358,0
198,104389,Davis,505,Germany,Male,70,1,28228.78060559625,3,1,1,42746.38480338341,1
199,102327,Garcia,754,France,Female,46,0,109194.34974343213,1,1,0,174915.67122894965,1
200,108004,Miller,725,Germany,Female,35,5,38845.283351338374,3,1,0,193995.74725687565,1
201,102931,Johnson,621,Germany,Female,30,7,271582.78086063097,1,1,1,126000.10800776273,0
202,107777,Brown,727,France,Male,51,0,11945.476955754828,4,0,1,149091.41882238266,0
203,100197,Williams,663,France,Male,35,10,263229.7073212026,2,0,0,168838.39387310753,1
204,107125,Davis,696,Spain,Male,18,10,245293.62858990623,4,1,0,47533.2612766936,0
205,101930,Miller,718,France,Male,41,9,311825.2467499827,4,1,1,115173.06336811474,0
206,106287,Williams,748,Germany,Female,42,9,8037.279608837468,2,1,1,188340.18985190196,1
207,108800,Johnson,658,Spain,Female,39,5,31800.5776179772,1,1,1,78633.68856712486,0
208,109339,Miller,827,Spain,Female,46,0,28944.353241863897,3,1,0,198210.20350463825,1
209,104282,Brown,628,Germany,Female,34,7,216538.0614083705,1,1,1,144525.1205459739,0
210,102511,Miller,838,France,Female,39,5,164597.88440708385,2,1,1,138206.92506239229,1
211,109986,Williams,537,France,Male,38,0,17303.84583391009,1,1,0,17114.210630137022,0
212,100659,Williams,551,France,Male,18,8,15254.29314702962,1,1,0,13522.1150455072,0
213,102811,Jones,557,Germany,Female,49,0,64270.35274355264,1,0,0,41383.487566761396,0
214,107098,Davis,745,France,Male,47,8,19036.11273816099,2,0,1,187381.36475686595,0
215,106546,Smith,569,Spain,Male,53,2,64607.36912410244,4,1,0,160865.58802164532,1
216,109561,Miller,799,Germany,Male,23,7,186236.18887434097,3,0,1,108870.49034977793,0
217,101986,Williams,597,France,Male,32,7,69297.5702945418,4,1,1,104175.08243417906,0
218,108338,Garcia,689,France,Male,55,6,128896.86749742666,3,1,1,35712.3994151762,0
219,102911,Brown,714,Germany,Female,30,1,28777.78055259947,2,1,0,84452.38740777329,0
220,101734,Garcia,548,France,Female,65,2,30895.697495940323,2,1,1,39825.20070181915,1
221,101843,Johnson,510,Spain,Male,18,4,90086.81854312259,1,0,0,62908.116545384146,0
222,108680,Miller,678,Spain,Female,30,4,191345.13216989403,3,1,0,12787.095080000461,0
223,102976,Jones,622,Spain,Female,32,1,75738.73623076988,4,1,0,83566.19089552821,0
224,101959,Brown,699,Germany,Male,50,0,22099.74475308572,3,1,0,137925.41221863675,1
225,105759,Jones,515,Spain,Male,63,4,24568.535853891033,3,1,1,141069.2694106665,1
226,106694,Smith,614,Germany,Male,43,4,95975.91017035332,2,0,0,90047.56702229593,1
227,102385,Williams,631,France,Male,18,2,10913.789228607944,3,1,1,149018.88791908207,0
228,104736,Davis,406,Germany,Female,37,7,6771.915431874558,1,0,1,91521.13742401601,0
229,101802,Brown,749,France,Male,40,5,10846.84859788557,4,1,0,181670.32703027147,0
230,108155,Johnson,574,France,Male,44,1,49814.71645177517,3,1,1,71187.59730635828,0
231,108120,Davis,799,Spain,Female,37,1,43752.90406210103,3,1,1,125111.03355470739,0
232,106616,Miller,580,Spain,Male,58,3,214.88996927313207,1,1,0,30822.13186489646,1
233,105534,Smith,597,Germany,Female,25,5,17634.591920566912,4,1,0,105812.03242384523,0
234,104061,Smith,525,France,Female,23,8,42696.268342155534,4,1,1,82896.81798519155,0
235,100262,Jones,764,Germany,Male,29,7,56204.98179200838,1,1,1,60005.22317587855,0
236,106287,Smith,695,France,Female,78,7,51466.17096860596,2,1,1,71337.23599315183,1
237,108815,Brown,790,France,Male,36,1,38510.09142135851,4,1,1,71581.13910222922,0
238,109208,Jones,629,Spain,Female,56,10,167089.51897829812,2,0,0,102800.41728193474,0
239,102049,Davis,645,France,Male,55,3,53788.908109890785,1,1,0,170470.02125116723,1
240,105423,Smith,481,France,Male,18,5,103415.42605163348,3,0,0,103363.17056228593,0
241,104548,Miller,587,Spain,Female,38,5,178673.40683179942,3,1,0,50828.51996331636,0
242,103108,Davis,667,France,Male,55,9,192222.55230109167,1,0,1,24605.28769482309,1
243,107158,Johnson,688,Germany,Female,81,5,194502.47152344996,4,0,1,77443.3060596474,1
244,107400,Miller,832,Germany,Female,55,7,68249.86005973711,2,1,1,41214.50910810008,1
245,103170,Garcia,464,Germany,Male,33,7,108270.31906428863,1,1,1,169046.91648463064,0
246,109874,Brown,672,France,Female,60,6,37785.632369260056,3,1,1,199045.9903459744,1
247,102255,Johnson,612,France,Male,32,4,197937.279714625,3,0,0,171460.86898515167,0
248,101154,Johnson,657,France,Female,22,5,23992.06357487818,4,1,0,84060.39496631398,0
249,104499,Jones,660,Germany,Male,49,5,154977.74401855885,4,1,1,26851.695785297183,1
250,106295,Williams,630,France,Female,18,2,63447.70940492929,2,1,1,145240.97600156156,0
251,106197,Jones,536,France,Female,30,10,35494.37022486169,2,0,0,137457.21841944582,0
252,109888,Brown,518,Spain,Female,61,2,47748.47674370036,2,1,1,24247.27926657588,1
253,101648,Brown,623,France,Female,49,6,88738.62599568894,1,1,0,160195.76903694237,0
254,105539,Jones,507,Spain,Female,26,5,265902.36775433616,2,1,1,166932.1804111094,0
255,109637,Williams,638,Spain,Male,41,4,10263.422008474045,1,1,0,146819.54988689633,1
256,104199,Miller,624,Spain,Male,37,10,251921.70992243392,1,0,1,148682.82715782075,1
257,108445,Jones,404,Spain,Female,52,5,169123.66405235004,4,1,0,141541.95175900013,1
258,102557,Brown,843,Germany,Male,44,5,88509.11437298376,1,1,1,93756.8060983436,0
259,105592,Williams,657,Germany,Male,41,3,13966.41334462149,4,0,1,127700.01255084554,1
260,100098,Brown,406,Germany,Male,38,10,167373.78815454608,2,0,0,127792.23765625963,1
261,102200,Williams,674,France,Female,22,4,117322.33674559384,1,1,1,112899.74645214113,0
262,102961,Williams,629,France,Male,59,6,68779.88760246607,2,0,1,125364.10555437944,1
263,104973,Davis,518,France,Male,45,10,217039.31374971074,1,1,0,86840.90123912143,1
264,104433,Jones,680,France,Female,34,10,109199.74377064705,1,0,1,139379.07390929438,0
265,102869,Jones,555,Spain,Female,35,0,34056.6850769342,4,1,1,54350.90413849261,0
266,100956,Jones,669,Spain,Female,37,9,4459.993117636433,2,1,1,172349.82029438435,0
267,108352,Williams,579,Spain,Female,26,5,142434.53403748779,1,0,1,171905.914237803,0
268,105699,Williams,559,France,Female,30,4,29500.109561962166,3,0,0,105383.70130812489,0
269,106944,Brown,648,France,Male,53,5,32922.600826284826,1,1,1,105144.5369102193,1
270,104493,Johnson,487,Spain,Male,18,0,59731.672043193365,2,1,1,86765.97353961029,0
271,109492,Jones,641,France,Male,66,3,138616.498909264,4,0,0,20199.362937666017,1
272,104911,Davis,715,Spain,Female,39,7,258123.91882518283,3,1,1,38573.710350409456,0
273,103987,Garcia,777,Spain,Male,27,3,24369.31099557737,2,1,1,146198.42880208004,0
274,109719,Brown,758,Germany,Female,33,9,213720.84658979543,1,1,0,38474.97446411745,1
275,106015,Brown,785,France,Male,45,7,92728.22284170939,4,1,0,89214.81070721046,0
276,101218,Smith,604,France,Male,31,10,193502.33334003552,4,0,0,78321.09326402974,0
277,104496,Jones,547,France,Female,48,7,188524.2943555277,2,1,1,52942.16533746031,0
278,104735,Miller,731,Germany,Male,23,1,49821.24313572101,1,1,0,111220.30734922344,0
279,104555,Brown,598,Spain,Male,27,5,113361.93889304392,3,1,0,79987.52482087248,0
280,109146,Smith,650,France,Female,42,6,293006.28497513477,2,1,0,154685.31986659302,1
281,108050,Garcia,724,France,Male,29,6,111591.45982577847,3,1,1,131970.3916978677,0
282,103446,Davis,850,Germany,Male,68,0,61278.32769724523,4,1,1,102119.56965248527,1
283,101045,Garcia,702,France,Male,51,3,46515.36041773239,4,1,1,120007.33552525892,1
284,106893,Miller,670,Spain,Female,46,6,15468.334279278653,4,1,1,92819.87891047874,0
285,101693,Jones,537,France,Female,40,5,672269.2578714627,3,1,1,159179.9318473737,0
286,103436,Williams,766,Spain,Male,33,2,107241.38890205049,1,1,1,192533.4800781853,0
287,108754,Smith,690,Spain,Male,35,9,32373.353178447196,2,1,1,156061.8308559142,0
288,105895,Williams,615,Spain,Female,26,9,7736.572700847107,2,1,1,173935.76444062637,0
289,103354,Garcia,604,France,Female,42,0,140209.69264212687,2,1,1,159231.8567250199,0
290,100225,Garcia,609,France,Female,20,4,193151.53099918168,3,1,0,88379.53256760599,0
291,104893,Johnson,654,Spain,Male,60,10,55826.0796564707,1,1,1,172513.7406917143,0
292,107022,Johnson,504,Spain,Male,39,7,312541.53861379053,4,1,1,18731.18276016579,0
293,109151,Davis,771,Germany,Female,59,2,39821.16983334407,4,1,0,178429.1706161659,1
294,105600,Miller,753,France,Female,52,4,141083.75506435413,3,1,1,100136.87482295798,1
295,107996,Johnson,633,France,Male,37,8,30514.356055650842,2,1,0,73755.48344919218,0
296,109007,Johnson,609,Spain,Female,45,7,40937.85577466778,1,0,1,110527.31470461072,1
297,107683,Miller,647,France,Male,32,10,92985.82236330216,1,1,1,141199.97760874947,1
298,104642,Brown,664,France,Female,37,8,3735.528981327227,1,1,0,127509.12108603644,0
299,107679,Johnson,619,France,Female,27,4,23676.00400699525,1,0,1,128037.94076559767,0
300,108208,Brown,749,Spain,Male,63,2,19400.444983182304,1,1,0,30413.956792968736,1
301,107339,Brown,507,France,Female,41,10,39747.87055064775,2,1,1,148931.61353996227,0
302,109435,Jones,578,Germany,Female,51,8,150267.00217128926,4,1,0,145671.1060010059,1
303,102205,Brown,727,France,Male,32,3,238164.49529264114,2,0,1,33390.83593866282,0
304,101069,Brown,682,France,Male,62,0,1275.35378376564,4,0,1,19793.703745254003,0
305,103444,Johnson,582,Germany,Male,28,10,29738.53669715067,2,0,1,196751.37810435847,0
